%marks, max marks, rank
360, 285, 1
275, 285, 35
265, 285, 70
255, 285, 156
245, 285, 305
235, 285, 599
226, 285, 911
217, 285, 1367
204, 285, 1888
196, 285, 2664
185, 285, 3709
175, 285, 5003
166, 285, 6706
157, 285, 8949
145, 285, 11678
360, 292, 1
309, 292, 101
289, 292, 201
269, 292, 501 
254, 292, 1001 
246, 292, 1501 
239, 292, 2001 
231, 292, 2501 
224, 292, 3001 
216, 292, 3501 
209, 292, 4001 
206, 292, 4501 
203, 292, 5001 
199, 292, 5501 
196, 292, 6001 
194, 292, 6501 
189, 292, 7501 
184, 292, 8001 
181, 292, 8501 
178, 292, 9001 
176, 292, 9501  
350, 292, 1
340, 292, 15
330, 292, 41
320, 292, 84
310, 292, 145
302, 292, 189
290, 292, 370
280, 292, 555
270, 292, 800
260, 292, 1090
250, 292, 1515
239, 292, 2095
230, 292, 2685
210, 292, 4525
